"UPALNR";"ARTIKELNR";"Reichweite_Tage"
"8359652994";R902126772;0
"8363799944";"03061500ET0001";0
"8365502771";"03800610ET0001";0
"8363240774";"03742400ET0001";0
"8364734364";"05829100ET0001";0
"8362581687";"04525000ET0001";0
"8365636537";"00714400ET0001";0
"8362172557";"08781100ET0001";0
"8365497091";"01723610ET0001";0
"8364740020";"03215410ET0001";0
"8365358125";"03055700ET0001";0
"8364583580";"05886200ET0001";0
"1039091106";"04642300ET0001";0
"8351329979";R000000892;0
"8363757302";"04920600ET0001";0
"8365225274";"06486610ET0012";0
"1039091199";"07333500ET0001";0
"8365358125";"02345600ET0001";0
"8364148352";"01282310ET0001";0
"8362878749";"03924900ET0001";0
"8363871558";"02286800ET0001";0
"8363003836";"09677500ET0001";0
"8362392382";"07610310ET0001";0
"8355426599";R902120458;0
"1039091199";"07301620ET0001";0
"8365637923";"09844510ET0001";0
"8361596507";"08348230ET0025";0
"8363182524";"0B134300ET0001";0
"8362392498";"01755800ET0001";0
"8364038721";R902249257;0
"8365300308";"02358310ET0001";0
"8362461286";"07177100ET0001";0
"8361852344";"08918800ET0001";0
"8365042420";"000000000000113651";0
"8362634376";"01655100ET0001";0
"8339947379";R902531046;0
"8363005601";"05693600ET0001";0
"8356989802";R000000892;0
"8364377400";"04310800ET0001";0
"8365340342";"00265400ET0001";0
"8364127678";R909921396;0
"8361315139";"01567700ET0001";0
"8364884595";"05907970ET0001";0
"8365449878";"02362000ET0001";0
"8363005601";"03311630ET0001";0
"8361774769";"06908500ET0001";0
"8365172639";"03070200ET0001";0
"8365233309";R902120458;0
"8360178148";R902033803;0
"8364207509";R902108572;0
"1039091199";"09061300ET0005";0
"8365202695";"03540900ET0001";0
"8362664649";"05154500ET0001";0
"8339266630";R902492906;0
"8364554672";"07735820ET0001";0
"8358488938";R902049037;0
"1039091533";"08484600ET0001";0
"8364377387";"07146400ET0001";0
"8361174200";"06876000ET0006";0
"8362255724";"04767900ET0001";0
